fruit,carbohydrates,proteins,fats,fiber,water,A,B1,B2,B3,C
Apricot,11.1,1.4,0.4,2,86.4,1926,0.03,0.04,0.6,10
Avocado,8.6,2,15.4,6.8,72.3,147,0.08,0.14,1.91,8.8
Blackberry,9.6,1.4,0.5,5.3,88.2,214,0.02,0.03,0.65,21
Blueberry,14.5,0.7,0.3,2.4,84.2,54,0.04,0.04,0.42,9.7
Casaba,6.6,1.1,0.1,0.9,91.9,0,0.02,0.03,0.23,21.8
Cherry,7.7,0.4,0.3,1.1,91.4,75,0.02,0.06,0.4,10
Cranberry,12.2,0.4,0.1,4.6,87.1,60,0.01,0.02,0.1,13.3
Currant,13.8,1.4,0.2,4.3,84,42,0.04,0.05,0.1,41
Goji berry,21,10.6,-,7.7,-,-,0.15,-,-,18.4
Gooseberry,6.9,0.9,0.6,3.2,87.9,-,0.01,0.03,0.4,33
Grapefruit,8.1,0.6,0.1,1.1,90.9,33,0.04,0.02,0.28,34.4
Grape,13.9,0.8,0.5,3.9,84.3,67,0.05,0.-3,0.03,4
Kumquat,15.9,1.9,0.9,6.5,80.9,290,0.04,0.09,0.43,43.9
Lime,10.5,0.7,0.2,2.8,88.3,50,0.03,0.02,0.2,29.1
Lingonberry,7.2,0.8,1.2,3.7,86.3,-,-0.05,0.04,0.63,11
Lychee,16.5,0.8,0.4,1.3,81.8,-,0.01,0.07,0.72,71.5
Olive,6.3,0.8,10.7,3.2,80,403,0,0,0.04,0.9
Papaya,10.8,0.5,0.3,1.7,88.1,950,0.02,0.03,0.36,60.9
Pear,15.5,0.4,0.1,3.1,83.7,23,0.02,0.03,0.16,4.2
Persimmon,33.5,0.8,0.4,-,64.4,-,-,-,-,66
Pineapple,11.6,0.5,0.4,1.4,85.7,-,0.-8,0.02,0.02,25
Plum,11.4,0.7,0.3,1.4,87.2,345,0.03,0.03,0.42,9.5
Prickly pear,6,0.7,0.5,3.6,87.6,-,0.01,0.06,0.46,14
Raisin,78.5,2.5,0.5,6.8,16.6,0,0.11,0.18,1.11,5.4
Rhubarb,4.5,0.9,0.2,1.8,93.6,102,0.02,0.03,0.3,8
Rose hips,8.6,0.6,0.5,6.1,83.4,-,-0.06,0.07,0.5,840
