fruit,A,B1,B2,B3,C
Watermelon,569,0.03,0.02,0.18,8.1
Tangerine,681,0.06,0.04,0.38,26.7
Strawberry,12,0.02,0.02,0.39,58.9
Raspberry,33,0.03,0.04,0.6,26.2
Quince,40,0.02,0.03,0.2,15
Peach,326,0.02,0.03,0.81,6.6
Orange,225,0.1,0.04,0.4,45
_Nectarine,332,0.02,0.03,1.13,5.4
Mango,1082,0.03,0.04,0.67,36.4
Lemon,22,0.04,0.02,10,53
Kiwi,72,0.02,0.05,0.28,105
Honeydew,50,0.04,0.01,0.16,18
Guava,624,0.07,0.04,1.08,228
Fig,142,0.06,0.05,0.4,2
Elderberry,,0.07,0.06,1.92,29
Date,149,0.05,0.06,1.61,0
Cantaloupe,3382,0.04,0.02,0.73,36.7
Banana,64,0.03,0.07,0.67,8.7
Apple,54,0.02,0.03,0.09,4.6
